0,r
1,r
2,r
3,r
4,r
5,r
6,r
7,r
8,r
9,r
10,r
11,r
20,r
21,r
22,r
23,r
24,r
25,r
26,r
27,r
28,r
29,r
30,r
31,r
43,r
44,r
45,r
46,r
47,r
48,r
13,g
14,g
15,g
16,g
17,g
18,g
19,g
33,g
34,g
35,g
36,g
37,g
38,g
39,g
53,g
54,g
55,g
56,g
57,g
58,g
59,g
73,g
74,g
75,g
76,g
77,g
78,g
79,g
93,g
94,g
95,g
96,g
97,g
98,g
99,g
113,g
114,g
115,g
116,g
117,g
118,g
119,g
133,g
134,g
135,g
136,g
137,g
138,g
139,g
153,g
154,g
155,g
156,g
157,g
158,g
159,g
173,g
174,g
175,g
176,g
177,g
178,g
179,g
193,g
194,g
195,g
196,g
197,g
198,g
199,g
214,g
215,g
216,g
217,g
218,g
219,g
235,g
236,g
237,g
238,g
239,g
256,g
257,g
258,g
259,g
260,b
261,b
262,b
263,b
280,b
281,b
282,b
283,b
300,b
301,b
302,b
303,b
304,b
305,b
320,b
321,b
322,b
323,b
324,b
325,b
326,b
327,b
340,b
341,b
342,b
343,b
344,b
345,b
346,b
347,b
348,b
349,b
360,b
361,b
362,b
363,b
364,b
365,b
366,b
367,b
368,b
369,b
380,b
381,b
382,b
383,b
384,b
385,b
386,b
387,b
388,b
389,b
